order_id,order_number,customer_id,store_id,order_date,order_status,payment_status,channel,,,shipping_method,total_item,shipped_date,delivery_date,expected_delivery_date,tracking_number,,,,grand_total,tax_total,shipping_total,shipping_cost,discount_total,,priority_order,is_express_delivery,cancelled_at,refunded_at,updated_at,new_column,created_at,coupon_code
51,ORD00000051,353,13,6/11/2024 0:00,Delivered,Paid,Online,Website,Desktop,Standard,95,6/12/2024 0:00,6/20/2024 0:00,6/20/2024,TRK000000000051,DTDC,,1,134990,125780.51,22640.49,0,148421,f,f,f,6/11/2024 0:00,08:13.5,,,,
52,ORD00000052,994,13,12/16/2024 0:00,Returned,Pending,Online,Website,Desktop,Standard,64,12/18/2024 0:00,12/24/2024 0:00,12/24/2024,TRK000000000052,Shadowfax,,1,47999,36625.73,6592.63,0,43218.36,f,f,f,12/16/2024 0:00,08:13.5,,12/27/2024 0:00,,
53,ORD00000053,491,13,2/22/2024 0:00,Delivered,Paid,Online,Website,Mobile,Standard,21,2/24/2024 0:00,2/29/2024 0:00,2/29/2024,TRK000000000053,Xpressbees,,1,47999,37271.01,6708.78,0,43979.79,f,f,f,2/22/2024 0:00,08:13.5,,,,
54,ORD00000054,598,13,7/4/2025 0:00,Delivered,Paid,Online,Website,Mobile,Standard,65,7/6/2025 0:00,7/11/2025 0:00,7/11/2025,TRK000000000054,Ecom Express,,1,23490,21277,3829.86,0,25106.86,f,f,f,7/4/2025 0:00,08:13.5,,,,
55,ORD00000055,620,13,11/24/2025 0:00,Delivered,Paid,Online,Website,Desktop,Standard,25,11/26/2025 0:00,12/3/2025 0:00,12/3/2025,TRK000000000055,DTDC,,1,45999,36647.76,6596.6,0,43244.36,f,f,f,11/24/2025 0:00,08:13.5,,,,
56,ORD00000056,896,13,8/8/2025 0:00,Shipped,Pending,Online,Website,Mobile,Standard,69,8/10/2025 0:00,8/18/2025 0:00,8/18/2025,TRK000000000056,Xpressbees,,1,13490,11024.68,1984.44,0,13009.13,f,f,f,8/8/2025 0:00,08:13.5,,,,
58,ORD00000058,570,13,5/31/2024 0:00,Processing,Pending,Online,Website,Desktop,Standard,42,,,,TRK000000000058,Xpressbees,,1,23999,20444.34,3679.98,0,24124.32,f,f,f,5/31/2024 0:00,08:13.5,,,,
59,ORD00000059,230,13,6/17/2024 0:00,Delivered,Paid,Online,Website,Mobile,Standard,38,6/18/2024 0:00,6/26/2024 0:00,6/26/2024,TRK000000000059,Delhivery,,1,17999,14701.89,2646.34,0,17348.24,f,f,f,6/17/2024 0:00,08:13.5,,,,
40,ORD00000040,416,11,1/25/2025 0:00,Delivered,Paid,In-Store,Walk-in,,Store Pickup,59,1/26/2025 0:00,1/26/2025 0:00,1/26/2025,,,,1,19999,16105.73,2899.03,0,19004.76,f,f,f,1/25/2025 0:00,08:13.5,,,,
41,ORD00000041,771,2,9/30/2025 0:00,Confirmed,Pending,In-Store,Walk-in,,Store Pickup,9,,,,,,,1,54990,44974.83,8095.47,0,53070.3,f,f,f,9/30/2025 0:00,08:13.5,,,,
43,ORD00000043,117,12,11/6/2025 0:00,Delivered,Paid,In-Store,Walk-in,,Store Pickup,31,11/8/2025 0:00,11/8/2025 0:00,11/8/2025,,,,1,16490,11344.14,2041.95,0,13386.09,f,f,f,11/6/2025 0:00,08:13.5,,,,
45,ORD00000045,546,2,11/6/2024 0:00,Delivered,Paid,In-Store,Walk-in,,Store Pickup,49,11/8/2024 0:00,11/8/2024 0:00,11/8/2024,,,,1,44990,32587.24,5865.7,0,38452.94,f,f,f,11/6/2024 0:00,08:13.5,,,,
48,ORD00000048,662,8,12/11/2024 0:00,Delivered,Paid,In-Store,Walk-in,,Store Pickup,29,12/13/2024 0:00,12/13/2024 0:00,12/13/2024,,,,1,1699,1470.69,264.72,0,1735.41,f,f,f,12/11/2024 0:00,08:13.5,,,,
50,ORD00000050,710,10,6/25/2024 0:00,Delivered,Paid,In-Store,Walk-in,,Store Pickup,84,6/26/2024 0:00,6/26/2024 0:00,6/26/2024,,,,1,79900,68859.6,12394.73,0,81254.33,f,f,f,6/25/2024 0:00,08:13.5,,,,
57,ORD00000057,148,2,8/11/2024 0:00,Delivered,Paid,In-Store,Walk-in,,Store Pickup,28,8/13/2024 0:00,8/13/2024 0:00,8/13/2024,,,,1,1797,1654.47,297.8,0,1952.26,f,f,f,8/11/2024 0:00,08:13.5,,,,
64,ORD00000064,944,9,6/26/2024 0:00,Delivered,Paid,In-Store,Walk-in,,Store Pickup,3,6/27/2024 0:00,6/27/2024 0:00,6/27/2024,,,,1,26999,21925.06,3946.51,0,25871.57,f,f,f,6/26/2024 0:00,08:13.5,,,,
66,ORD00000066,763,5,5/12/2024 0:00,Delivered,Paid,In-Store,Walk-in,,Store Pickup,30,5/13/2024 0:00,5/13/2024 0:00,5/13/2024,,,,1,45990,40138.22,7224.88,0,47363.1,f,f,f,5/12/2024 0:00,08:13.5,,,,
67,ORD00000067,794,9,2/24/2024 0:00,Confirmed,Pending,In-Store,Walk-in,,Store Pickup,18,,,,,,,1,79900,74463.74,13403.47,0,87867.21,f,f,t,2/24/2024 0:00,08:13.5,,,,
68,ORD00000068,309,4,11/25/2025 0:00,Delivered,Paid,In-Store,Walk-in,,Store Pickup,4,11/26/2025 0:00,11/26/2025 0:00,11/26/2025,,,,1,89999,58917.62,10605.17,0,69522.8,f,f,f,11/25/2025 0:00,08:13.5,,,,
69,ORD00000069,867,10,1/2/2025 0:00,Delivered,Paid,In-Store,Walk-in,,Store Pickup,27,1/3/2025 0:00,1/3/2025 0:00,1/3/2025,,,,1,37990,33213.27,5978.39,0,39191.66,f,f,f,1/2/2025 0:00,08:13.5,,,,
60,ORD00000060,505,13,1/16/2025 0:00,Delivered,Paid,Online,Website,Tablet,Standard,17,1/18/2025 0:00,1/23/2025 0:00,1/23/2025,TRK000000000060,Shadowfax,,1,25999,22058.01,3970.44,0,26028.45,f,f,f,1/16/2025 0:00,08:13.5,,,,
61,ORD00000061,866,13,10/3/2024 0:00,Delivered,Paid,Online,Website,Desktop,Standard,59,10/5/2024 0:00,10/12/2024 0:00,10/12/2024,TRK000000000061,Shadowfax,,1,39999,28679.89,5162.38,0,33842.27,f,f,f,10/3/2024 0:00,08:13.5,,,,
62,ORD00000062,365,13,3/1/2024 0:00,Delivered,Paid,Online,Website,Tablet,Standard,56,3/2/2024 0:00,3/7/2024 0:00,3/7/2024,TRK000000000062,DTDC,,1,12499,10764.6,1937.63,0,12702.23,f,f,f,3/1/2024 0:00,08:13.5,,,,
63,ORD00000063,847,13,12/13/2025 0:00,Delivered,Paid,Online,Website,Desktop,Standard,72,12/15/2025 0:00,12/21/2025 0:00,12/21/2025,TRK000000000063,Ecom Express,,1,33999,24686.15,4443.51,0,29129.66,f,f,f,12/13/2025 0:00,08:13.5,,,,
65,ORD00000065,939,13,3/30/2024 0:00,Delivered,Paid,Online,Website,Mobile,Standard,52,4/1/2024 0:00,4/9/2024 0:00,4/9/2024,TRK000000000065,Shadowfax,,1,144900,126998.16,22859.67,0,149857.83,f,f,f,3/30/2024 0:00,08:13.5,,,,
70,ORD00000070,733,13,7/5/2024 0:00,Confirmed,Pending,Online,Website,Desktop,Standard,37,,,,TRK000000000070,Shadowfax,,1,16990,13535.77,2436.44,0,15972.21,f,f,f,7/5/2024 0:00,08:13.5,,,,
71,ORD00000071,451,13,7/15/2024 0:00,Returned,Pending,Online,Website,Mobile,Standard,96,7/17/2024 0:00,7/22/2024 0:00,7/22/2024,TRK000000000071,Xpressbees,,1,1549,1204.7,216.85,0,1421.54,f,f,f,7/15/2024 0:00,08:13.5,,7/25/2024 0:00,,
72,ORD00000072,781,13,8/4/2025 0:00,Shipped,Pending,Online,Website,Tablet,Standard,60,8/5/2025 0:00,8/13/2025 0:00,8/13/2025,TRK000000000072,Ecom Express,,1,11999,10378.13,1868.06,0,12246.2,f,f,f,8/4/2025 0:00,08:13.5,,,,
74,ORD00000074,536,13,11/16/2025 0:00,Shipped,Pending,Online,Website,Desktop,Standard,65,11/17/2025 0:00,11/23/2025 0:00,11/23/2025,TRK000000000074,Blue Dart,,1,26999,19509.91,3511.78,0,23021.7,f,f,f,11/16/2025 0:00,08:13.5,,,,
75,ORD00000075,610,13,2/28/2025 0:00,Shipped,Pending,Online,Website,Desktop,Standard,12,3/2/2025 0:00,3/10/2025 0:00,3/10/2025,TRK000000000075,Shadowfax,,1,3398,2465,443.7,0,2908.69,f,f,f,2/28/2025 0:00,08:13.5,,,,
76,ORD00000076,415,13,5/22/2025 0:00,Delivered,Paid,Online,Website,Mobile,Standard,17,5/23/2025 0:00,5/29/2025 0:00,5/29/2025,TRK000000000076,Shadowfax,,1,20999,18896.2,3401.32,0,22297.52,f,f,f,5/22/2025 0:00,08:13.5,,,,
77,ORD00000077,70,13,7/13/2024 0:00,Delivered,Paid,Online,Website,Desktop,Standard,83,7/15/2024 0:00,7/20/2024 0:00,7/20/2024,TRK000000000077,Blue Dart,,1,44990,40268.11,7248.26,0,47516.37,f,f,f,7/13/2024 0:00,08:13.5,,,,
78,ORD00000078,510,13,7/20/2025 0:00,Returned,Pending,Online,Website,Desktop,Standard,9,7/22/2025 0:00,7/27/2025 0:00,7/27/2025,TRK000000000078,DTDC,,1,39990,31505.09,5670.92,0,37176.01,f,f,f,7/20/2025 0:00,08:13.5,,7/30/2025 0:00,,
80,ORD00000080,583,13,12/3/2025 0:00,Delivered,Paid,Online,Website,Desktop,Standard,9,12/5/2025 0:00,12/10/2025 0:00,12/10/2025,TRK000000000080,Ecom Express,,1,44999,31824.49,5728.41,0,37552.9,f,f,f,12/3/2025 0:00,08:13.5,,,,
81,ORD00000081,387,13,10/4/2025 0:00,Delivered,Paid,Online,Website,Desktop,Standard,21,10/6/2025 0:00,10/11/2025 0:00,10/11/2025,TRK000000000081,Delhivery,,1,2299,2057.99,370.44,0,2428.43,f,f,f,10/4/2025 0:00,08:13.5,,,,
82,ORD00000082,366,13,3/8/2025 0:00,Delivered,Paid,Online,Website,Desktop,Standard,52,3/9/2025 0:00,3/16/2025 0:00,3/16/2025,TRK000000000082,Blue Dart,,1,1499,1374.54,247.42,0,1621.95,f,f,t,3/8/2025 0:00,08:13.5,,,,
83,ORD00000083,334,13,3/19/2025 0:00,Delivered,Paid,Online,Website,Tablet,Standard,55,3/21/2025 0:00,3/28/2025 0:00,3/28/2025,TRK000000000083,Ecom Express,,1,12999,11646.06,2096.29,0,13742.35,f,f,f,3/19/2025 0:00,08:13.5,,,,
84,ORD00000084,101,13,5/26/2025 0:00,Delivered,Paid,Online,Website,Mobile,Standard,15,5/28/2025 0:00,6/4/2025 0:00,6/4/2025,TRK000000000084,Ecom Express,,1,2998,2247.86,404.61,0,2652.46,f,f,f,5/26/2025 0:00,08:13.5,,,,
85,ORD00000085,998,13,7/13/2025 0:00,Shipped,Pending,Online,Website,Tablet,Standard,1,7/14/2025 0:00,7/19/2025 0:00,7/19/2025,TRK000000000085,DTDC,,1,39999,29032.47,5225.84,0,34258.32,f,f,f,7/13/2025 0:00,08:13.5,,,,
86,ORD00000086,581,13,7/8/2025 0:00,Delivered,Paid,Online,Website,Desktop,Standard,5,7/9/2025 0:00,7/16/2025 0:00,7/16/2025,TRK000000000086,Ecom Express,,1,129999,115651.09,20817.2,0,136468.28,f,f,f,7/8/2025 0:00,08:13.5,,,,
87,ORD00000087,528,13,7/25/2025 0:00,Delivered,Paid,Online,Website,Desktop,Standard,35,7/27/2025 0:00,8/2/2025 0:00,8/2/2025,TRK000000000087,Shadowfax,,1,144900,122694.83,22085.07,0,144779.89,f,f,f,7/25/2025 0:00,08:13.5,,,,
88,ORD00000088,630,13,10/14/2025 0:00,Shipped,Pending,Online,Website,Desktop,Standard,53,10/16/2025 0:00,10/23/2025 0:00,10/23/2025,TRK000000000088,DTDC,,1,33999,29942.13,5389.58,0,35331.72,f,f,f,10/14/2025 0:00,08:13.5,,,,
89,ORD00000089,934,13,3/9/2025 0:00,Delivered,Paid,Online,Website,Mobile,Standard,43,3/10/2025 0:00,3/16/2025 0:00,3/16/2025,TRK000000000089,Blue Dart,,1,32999,29322.31,5278.02,0,34600.32,f,f,t,3/9/2025 0:00,08:13.5,,,,
90,ORD00000090,817,13,11/24/2024 0:00,Delivered,Paid,Online,Website,Desktop,Standard,59,11/25/2024 0:00,12/1/2024 0:00,12/1/2024,TRK000000000090,DTDC,,1,39999,21444.81,3860.07,0,25304.88,f,f,f,11/24/2024 0:00,08:13.5,,,,
93,ORD00000093,849,13,7/2/2025 0:00,Delivered,Paid,Online,Website,Desktop,Standard,2,7/3/2025 0:00,7/11/2025 0:00,7/11/2025,TRK000000000093,Blue Dart,,1,149999,138830.77,24989.54,0,163820.31,f,f,f,7/2/2025 0:00,08:13.5,,,,
79,ORD00000079,454,3,4/26/2025 0:00,Delivered,Paid,In-Store,Walk-in,,Store Pickup,16,4/28/2025 0:00,4/28/2025 0:00,4/28/2025,,,,1,36999,31458.41,5662.51,0,37120.92,f,f,f,4/26/2025 0:00,08:13.5,,,,
91,ORD00000091,181,1,11/1/2025 0:00,Processing,Pending,In-Store,Walk-in,,Store Pickup,26,,,,,,,1,27490,21440.82,3859.35,0,25300.16,f,f,f,11/1/2025 0:00,08:13.5,,,,
92,ORD00000092,417,4,4/13/2024 0:00,Confirmed,Pending,In-Store,Walk-in,,Store Pickup,38,,,,,,,1,74990,63800.7,11484.13,0,75284.82,f,f,f,4/13/2024 0:00,08:13.5,,,,
98,ORD00000098,281,6,5/29/2025 0:00,Delivered,Paid,In-Store,Walk-in,,Store Pickup,59,5/30/2025 0:00,5/30/2025 0:00,5/30/2025,,,,1,64990,53193.39,9574.81,0,62768.2,f,f,f,5/29/2025 0:00,08:13.5,,,,
103,ORD00000103,581,8,5/11/2024 0:00,Delivered,Paid,In-Store,Walk-in,,Store Pickup,5,5/13/2024 0:00,5/13/2024 0:00,5/13/2024,,,,1,32999,28508.74,5131.57,0,33640.31,f,f,f,5/11/2024 0:00,08:13.5,,,,
108,ORD00000108,544,8,3/30/2025 0:00,Delivered,Paid,In-Store,Walk-in,,Store Pickup,74,4/1/2025 0:00,4/1/2025 0:00,4/1/2025,,,,1,79900,62360.26,11224.85,0,73585.11,f,f,f,3/30/2025 0:00,08:13.5,,,,
94,ORD00000094,180,13,4/6/2025 0:00,Cancelled,Pending,Online,Website,Tablet,Standard,37,,,,TRK000000000094,Ecom Express,,1,32990,28271.69,5088.9,0,33360.59,f,f,f,4/6/2025 0:00,08:13.5,4/7/2025 0:00,,,
95,ORD00000095,253,13,6/8/2024 0:00,Cancelled,Pending,Online,Website,Tablet,Standard,44,,,,TRK000000000095,Shadowfax,,1,89990,80464.71,14483.65,0,94948.36,f,f,f,6/8/2024 0:00,08:13.5,6/9/2024 0:00,,,
96,ORD00000096,56,13,11/29/2025 0:00,Delivered,Paid,Online,Website,Desktop,Standard,33,11/30/2025 0:00,12/5/2025 0:00,12/5/2025,TRK000000000096,Ecom Express,,1,17999,12718.94,2289.41,0,15008.34,f,f,t,11/29/2025 0:00,08:13.5,,,,
97,ORD00000097,984,13,9/29/2024 0:00,Confirmed,Pending,Online,Website,Tablet,Standard,6,,,,TRK000000000097,Ecom Express,,1,29999,22677.09,4081.88,0,26758.97,f,f,f,9/29/2024 0:00,08:13.5,,,,
99,ORD00000099,519,13,3/19/2024 0:00,Delivered,Paid,Online,Website,Tablet,Standard,34,3/20/2024 0:00,3/25/2024 0:00,3/25/2024,TRK000000000099,Ecom Express,,1,11999,10014.92,1802.69,0,11817.61,f,f,f,3/19/2024 0:00,08:13.5,,,,
100,ORD00000100,140,13,10/16/2025 0:00,Delivered,Paid,Online,Website,Desktop,Standard,74,10/18/2025 0:00,10/24/2025 0:00,10/24/2025,TRK000000000100,Ecom Express,,1,7999,7020.35,1263.66,0,8284.01,f,f,f,10/16/2025 0:00,08:13.5,,,,
101,ORD00000101,753,13,5/27/2024 0:00,Delivered,Paid,Online,Website,Mobile,Standard,50,5/28/2024 0:00,6/5/2024 0:00,6/5/2024,TRK000000000101,Delhivery,,1,1499,1237.65,222.78,0,1460.43,f,f,f,5/27/2024 0:00,08:13.5,,,,
102,ORD00000102,663,13,4/12/2024 0:00,Delivered,Paid,Online,Website,Mobile,Standard,13,4/13/2024 0:00,4/20/2024 0:00,4/20/2024,TRK000000000102,DTDC,,1,747,700.35,126.06,0,826.42,f,f,f,4/12/2024 0:00,08:13.5,,,,
104,ORD00000104,507,13,2/6/2025 0:00,Delivered,Paid,Online,Website,Mobile,Standard,52,2/7/2025 0:00,2/15/2025 0:00,2/15/2025,TRK000000000104,DTDC,,1,5598,3817.76,687.2,0,4504.96,f,f,f,2/6/2025 0:00,08:13.5,,,,
105,ORD00000105,242,13,10/5/2025 0:00,Delivered,Paid,Online,Website,Tablet,Standard,55,10/7/2025 0:00,10/14/2025 0:00,10/14/2025,TRK000000000105,Blue Dart,,1,9499,7279.14,1310.25,0,8589.38,f,f,f,10/5/2025 0:00,08:13.5,,,,
106,ORD00000106,726,13,9/30/2024 0:00,Delivered,Paid,Online,Website,Mobile,Standard,98,10/1/2024 0:00,10/8/2024 0:00,10/8/2024,TRK000000000106,DTDC,,1,17999,15900.81,2862.15,0,18762.96,f,f,f,9/30/2024 0:00,08:13.5,,,,
107,ORD00000107,391,13,11/29/2025 0:00,Delivered,Paid,Online,Website,Mobile,Standard,97,12/1/2025 0:00,12/8/2025 0:00,12/8/2025,TRK000000000107,Delhivery,,1,39990,34915.48,6284.79,0,41200.27,f,f,f,11/29/2025 0:00,08:13.5,,,,
109,ORD00000109,780,13,10/8/2024 0:00,Cancelled,Pending,Online,Website,Mobile,Standard,71,,,,TRK000000000109,Blue Dart,,1,134990,94658.07,17038.45,0,111696.53,f,f,f,10/8/2024 0:00,08:13.5,10/9/2024 0:00,,,
110,ORD00000110,236,13,7/17/2024 0:00,Delivered,Paid,Online,Website,Desktop,Standard,95,7/19/2024 0:00,7/26/2024 0:00,7/26/2024,TRK000000000110,Ecom Express,,1,20999,15769.4,2838.49,0,18607.89,f,f,f,7/17/2024 0:00,08:13.5,,,,
116,ORD00000116,318,9,12/13/2025 0:00,Delivered,Paid,In-Store,Walk-in,,Store Pickup,81,12/15/2025 0:00,12/15/2025 0:00,12/15/2025,,,,1,154900,123349.7,22202.95,0,145552.65,f,f,f,12/13/2025 0:00,08:13.5,,,,
121,ORD00000121,776,3,11/28/2025 0:00,Delivered,Paid,In-Store,Walk-in,,Store Pickup,21,11/29/2025 0:00,11/29/2025 0:00,11/29/2025,,,,1,1699,873.01,157.14,0,1030.15,f,f,f,11/28/2025 0:00,08:13.5,,,,
